Time (s),Sensor 1 (m),Sensor 2 (m),Sensor 3 (m),Sensor 4 (m),Sensor 5 (m)
0,0.044559967,0.044661481,0.045215906,0.259797044,0.048882061
1,0.043914418,0.044214839,0.046861791,0.258186304,0.04988212
2,0.045095031,0.042640608,0.046914764,0.258779401,0.049254629
3,0.044706773,0.045492912,0.046792568,0.258887978,0.050338049
4,0.044568851,0.04492252,0.049214097,0.259053427,0.051079247
5,0.044049413,0.041753558,0.046892806,0.258252736,0.050412566
6,0.043319574,0.044142405,0.047303235,0.258359241,0.049441974
7,0.045756816,0.043437406,0.046612895,0.258489401,0.049881061
8,0.04471851,0.044389294,0.046814069,0.25860773,0.050245806
9,0.045475965,0.043116181,0.047203479,0.259179028,0.050343561
10,0.045000245,0.044772341,0.047472665,0.258659619,0.049527309
11,0.044258952,0.044213324,0.047316356,0.258592177,0.049434176
12,0.030743528,0.044218619,0.046768725,0.258474874,0.050330965
13,0.04539203,0.037380112,0.047872824,0.25854192,0.04809936
14,0.045950495,0.045615007,0.047106363,0.259478175,0.050649927
15,0.043873332,0.045200901,0.047052687,0.258462408,0.050116293
16,0.044229895,0.042544651,0.046901634,0.258656098,0.05095241
17,0.045296651,0.044063135,0.046926213,0.258495617,0.049396039
18,0.045298423,0.042114983,0.047584085,0.258676646,0.050466497
19,0.044800709,0.042144177,0.047279369,0.258452036,0.050611265
20,0.045069201,0.044592967,0.047334743,0.258774842,0.050224516
21,0.028915519,0.042590531,0.047229746,0.258318123,0.049250733
22,0.044193219,0.046001086,0.046279554,0.25807628,0.050139351
23,0.044730255,0.042790799,0.046854389,0.25850768,0.050443078
24,0.045733901,0.044578904,0.047066994,0.258441658,0.049419086
25,0.046095762,0.04731706,0.047216608,0.25811033,0.051680309
26,0.045569562,0.044676385,0.047547344,0.258644682,0.050694832
27,0.043614757,0.039928565,0.046900752,0.259283571,0.051299986
28,0.045399371,0.044533415,0.048398492,0.258757204,0.049791645
29,0.047908508,0.044499266,0.048169425,0.258520537,0.049445703
30,0.047454814,0.046737187,0.050237788,0.258774842,0.051588597
31,0.046872569,0.045227443,0.049866022,0.258665853,0.052259366
32,0.04478837,0.044376015,0.049434604,0.258450581,0.05297803
33,0.044850571,0.045830411,0.047047908,0.258470716,0.05260353
34,0.045243536,0.043867087,0.047132622,0.258612711,0.05240624
35,0.045398485,0.042774102,0.047227122,0.259827551,0.052946807
36,0.045860103,0.044457581,0.045861961,0.259597941,0.051592318
37,0.044604363,0.045514892,0.047127366,0.258594439,0.051346604
38,0.045290791,0.043198467,0.047532308,0.258580741,0.050886237
39,0.045227398,0.045627519,0.045948824,0.258968951,0.051621765
40,0.043755959,0.046183113,0.047976136,0.258848536,0.051876165
41,0.045020785,0.043442042,0.047093256,0.258621345,0.050044544
42,0.044096349,0.043077096,0.046849863,0.258485239,0.050061297
43,0.044872295,0.044935046,0.046773027,0.258772552,0.052031568
44,0.044551258,0.044389294,0.046522943,0.259519063,0.051141711
45,0.044762539,0.042860944,0.046888042,0.257957952,0.050013407
46,0.04595696,0.041359907,0.046395062,0.258583031,0.048675047
47,0.046379544,0.046258971,0.046470449,0.259558518,0.048290794
48,0.049614432,0.046320019,0.04884138,0.258229081,0.049488812
49,0.048968785,0.047379649,0.049615714,0.258576174,0.051407105
50,0.04669062,0.048572351,0.052223594,0.258557903,0.052502407
51,0.045214478,0.045619178,0.051004249,0.258640102,0.053614212
52,0.045487402,0.045621842,0.04879222,0.258057593,0.053231546
53,0.045224161,0.044421934,0.048193038,0.258761136,0.050191342
54,0.045657606,0.041503268,0.049171626,0.25878418,0.050382402
55,0.044985575,0.044472748,0.048987902,0.258528839,0.052546755
56,0.045346825,0.04028779,0.05023254,0.258733739,0.05409818
57,0.045856888,0.046311677,0.049019874,0.258516799,0.056088669
58,0.044656876,0.04249689,0.048818485,0.259307315,0.056854164
59,0.046799494,0.043020238,0.047988301,0.259733943,0.05672485
60,0.044410386,0.044692691,0.047408213,0.258582817,0.055032213
61,0.045411395,0.042377789,0.047542088,0.258434592,0.054059146
62,0.04523796,0.043892507,0.04728414,0.25908519,0.052592893
63,0.043664975,0.042185901,0.048032955,0.258571608,0.053046336
64,0.045588947,0.045986295,0.045930445,0.259471318,0.055068054
65,0.044242805,0.0444803,0.047200862,0.258500817,0.05446309
66,0.044301798,0.044806467,0.04652055,0.258829855,0.053449749
67,0.043367986,0.044809867,0.047045996,0.259898349,0.05374886
68,0.043855736,0.041848387,0.047475058,0.258541299,0.052584008
69,0.045650299,0.043654332,0.046807135,0.258514523,0.052693114
70,0.044815353,0.0454929,0.046227053,0.258692835,0.053662637
71,0.044520419,0.044893298,0.048340048,0.258836501,0.052447231
72,0.045630554,0.041801184,0.047810693,0.258360005,0.051978659
73,0.044501342,0.043589086,0.047482208,0.258580735,0.05363071
74,0.044744935,0.044620649,0.046556358,0.258736435,0.052120985
75,0.044678615,0.04168946,0.048027682,0.258877605,0.051912529
76,0.046086081,0.04503781,0.04663748,0.258611881,0.05328122
77,0.044310592,0.041314014,0.048634019,0.258512232,0.052285274
78,0.045595981,0.044958172,0.046460892,0.258773802,0.053620057
79,0.046831789,0.045214535,0.046870135,0.25857845,0.051943758
80,0.045256445,0.046937429,0.049080257,0.257834021,0.053026813
81,0.045205676,0.046896111,0.049653655,0.258640939,0.05261063
82,0.046159451,0.043960734,0.048162253,0.25851431,0.053911004
83,0.045249991,0.04615317,0.048762643,0.258521358,0.052330148
84,0.045777939,0.043528418,0.049131076,0.258782104,0.055718772
85,0.045798773,0.044167457,0.04843978,0.259809286,0.05570423
86,0.04447787,0.040388287,0.047663553,0.258506001,0.054696918
87,0.044246042,0.046620389,0.048450293,0.258731449,0.05562423
88,0.043748889,0.042565505,0.047484353,0.25849625,0.055335393
89,0.043356843,0.045064352,0.047708882,0.258900431,0.055514763
90,0.043716614,0.04328724,0.047862302,0.259007757,0.05589352
91,0.044997311,0.044597863,0.046806897,0.258869298,0.056857723
92,0.04474962,0.044743119,0.047402967,0.258640116,0.058369934
93,0.04546392,0.042993678,0.047012122,0.258645097,0.058069412
94,0.043335701,0.041864677,0.048019817,0.258946106,0.058506527
95,0.045253208,0.042331935,0.047059125,0.258448298,0.056211616
96,0.044474936,0.042618249,0.046911884,0.258493541,0.056733536
97,0.044744944,0.044472748,0.048016716,0.258620184,0.057851187
98,0.043535845,0.042098273,0.047458102,0.258464272,0.056525799
99,0.042209373,0.04293679,0.047248361,0.259170308,0.05680628
100,0.04412015,0.043708566,0.046956761,0.258658381,0.056453591
101,0.046165301,0.046145195,0.047336641,0.258713604,0.056256312
102,0.045217706,0.045527405,0.047786197,0.258843336,0.056916091
103,0.044355787,0.043833719,0.046628658,0.258610421,0.056748269
104,0.044518965,0.045621854,0.046625552,0.25826312,0.055385256
105,0.045175748,0.043942176,0.049416226,0.258644668,0.055169528
106,0.045924652,0.044768538,0.04721971,0.258711528,0.056483401
107,0.044788946,0.042724418,0.048455787,0.259087285,0.05662533
108,0.045111179,0.043404026,0.047568322,0.258717757,0.056674116
109,0.04540494,0.044822379,0.04754996,0.258669797,0.055741312
110,0.045669644,0.04502266,0.047001374,0.258850207,0.056057446
111,0.043768274,0.044964229,0.048783629,0.258548777,0.056441879
112,0.046549748,0.046156559,0.046365447,0.25872812,0.055814579
113,0.045792318,0.042736564,0.047754697,0.258793114,0.054734349
114,0.043870407,0.043653569,0.047482193,0.258696993,0.0554917
115,0.045188638,0.045836103,0.046515788,0.258226791,0.055048544
116,0.045340671,0.045022643,0.046945299,0.258678306,0.055145752
117,0.045814911,0.045990466,0.047085368,0.258909568,0.056114045
118,0.045185421,0.038247829,0.047253365,0.258404904,0.053977183
119,0.047045707,0.046236221,0.047019272,0.258777966,0.054031643
120,0.043887711,0.042573847,0.047009255,0.258646958,0.053434677
121,0.045763251,0.044006259,0.047541851,0.258711522,0.053384117
122,0.044591453,0.042815837,0.047098514,0.257980177,0.053764468
123,0.045716315,0.044590279,0.04727699,0.258788331,0.053586357
124,0.045036936,0.045982111,0.046589285,0.260444118,0.05510318
125,0.045317768,0.045318808,0.047182492,0.258683496,0.053040483
126,0.045842507,0.044798884,0.04772559,0.259502464,0.05223275
