Area Code,Area,Element Code,Months Code,Months,Year Code,Year,Unit,Value
11,Austria,7271,7001,January,1961,1961,Celsius,-0.801
11,Austria,7271,7001,January,1962,1962,Celsius,1.349
11,Austria,7271,7001,January,1963,1963,Celsius,-5.062
11,Austria,7271,7001,January,1964,1964,Celsius,-3.158
11,Austria,7271,7001,January,1965,1965,Celsius,1.426
11,Austria,7271,7001,January,1966,1966,Celsius,-2.16
11,Austria,7271,7001,January,1967,1967,Celsius,0.276
11,Austria,7271,7001,January,1968,1968,Celsius,-1.087
11,Austria,7271,7001,January,1969,1969,Celsius,0.083
11,Austria,7271,7001,January,1970,1970,Celsius,0.049
11,Austria,7271,7001,January,1971,1971,Celsius,-0.355
11,Austria,7271,7001,January,1972,1972,Celsius,-0.414
11,Austria,7271,7001,January,1973,1973,Celsius,0.737
11,Austria,7271,7001,January,1974,1974,Celsius,3.375
11,Austria,7271,7001,January,1975,1975,Celsius,4.242
11,Austria,7271,7001,January,1976,1976,Celsius,2.094
11,Austria,7271,7001,January,1977,1977,Celsius,1.478
11,Austria,7271,7001,January,1978,1978,Celsius,1.281
11,Austria,7271,7001,January,1979,1979,Celsius,-2.23
11,Austria,7271,7001,January,1980,1980,Celsius,-1.517
11,Austria,7271,7001,January,1981,1981,Celsius,-1.534
11,Austria,7271,7001,January,1982,1982,Celsius,-0.838
11,Austria,7271,7001,January,1983,1983,Celsius,4.34
11,Austria,7271,7001,January,1984,1984,Celsius,1.169
11,Austria,7271,7001,January,1985,1985,Celsius,-4.475
11,Austria,7271,7001,January,1986,1986,Celsius,0.774
11,Austria,7271,7001,January,1987,1987,Celsius,-3.184
11,Austria,7271,7001,January,1988,1988,Celsius,3.923
11,Austria,7271,7001,January,1989,1989,Celsius,2.219
11,Austria,7271,7001,January,1990,1990,Celsius,1.549
11,Austria,7271,7001,January,1991,1991,Celsius,1.659
11,Austria,7271,7001,January,1992,1992,Celsius,2.097
11,Austria,7271,7001,January,1993,1993,Celsius,2.948
11,Austria,7271,7001,January,1994,1994,Celsius,4.127
11,Austria,7271,7001,January,1995,1995,Celsius,0.55
11,Austria,7271,7001,January,1996,1996,Celsius,0.033
11,Austria,7271,7001,January,1997,1997,Celsius,-0.031
11,Austria,7271,7001,January,1998,1998,Celsius,3.033
11,Austria,7271,7001,January,1999,1999,Celsius,2.135
11,Austria,7271,7001,January,2000,2000,Celsius,-0.241
11,Austria,7271,7001,January,2001,2001,Celsius,1.931
11,Austria,7271,7001,January,2002,2002,Celsius,1.392
11,Austria,7271,7001,January,2003,2003,Celsius,0.352
11,Austria,7271,7001,January,2004,2004,Celsius,0.07
11,Austria,7271,7001,January,2005,2005,Celsius,1.585
11,Austria,7271,7001,January,2006,2006,Celsius,-1.783
11,Austria,7271,7001,January,2007,2007,Celsius,5.623
11,Austria,7271,7001,January,2008,2008,Celsius,4.041
11,Austria,7271,7001,January,2009,2009,Celsius,-0.488
11,Austria,7271,7001,January,2010,2010,Celsius,-0.951
11,Austria,7271,7001,January,2011,2011,Celsius,1.707
11,Austria,7271,7001,January,2012,2012,Celsius,2.56
11,Austria,7271,7001,January,2013,2013,Celsius,1.971
11,Austria,7271,7001,January,2014,2014,Celsius,4.368
11,Austria,7271,7001,January,2015,2015,Celsius,3.332
11,Austria,7271,7001,January,2016,2016,Celsius,2.116
11,Austria,7271,7001,January,2017,2017,Celsius,-2.346
11,Austria,7271,7001,January,2018,2018,Celsius,4.845
11,Austria,7271,7001,January,2019,2019,Celsius,0.872
11,Austria,7271,7002,February,1961,1961,Celsius,2.903
11,Austria,7271,7002,February,1962,1962,Celsius,-0.669
11,Austria,7271,7002,February,1963,1963,Celsius,-5.299
11,Austria,7271,7002,February,1964,1964,Celsius,0.045
11,Austria,7271,7002,February,1965,1965,Celsius,-3.706
11,Austria,7271,7002,February,1966,1966,Celsius,5.161
11,Austria,7271,7002,February,1967,1967,Celsius,1.306
11,Austria,7271,7002,February,1968,1968,Celsius,1.359
11,Austria,7271,7002,February,1969,1969,Celsius,-1.842
11,Austria,7271,7002,February,1970,1970,Celsius,-0.828
11,Austria,7271,7002,February,1971,1971,Celsius,0.625
11,Austria,7271,7002,February,1972,1972,Celsius,2.272
11,Austria,7271,7002,February,1973,1973,Celsius,0.155
11,Austria,7271,7002,February,1974,1974,Celsius,3.33
11,Austria,7271,7002,February,1975,1975,Celsius,0.804
11,Austria,7271,7002,February,1976,1976,Celsius,0.413
11,Austria,7271,7002,February,1977,1977,Celsius,2.879
11,Austria,7271,7002,February,1978,1978,Celsius,-1.322
11,Austria,7271,7002,February,1979,1979,Celsius,0.417
11,Austria,7271,7002,February,1980,1980,Celsius,1.967
11,Austria,7271,7002,February,1981,1981,Celsius,-0.702
11,Austria,7271,7002,February,1982,1982,Celsius,-1.231
11,Austria,7271,7002,February,1983,1983,Celsius,-2.425
11,Austria,7271,7002,February,1984,1984,Celsius,-1.092
11,Austria,7271,7002,February,1985,1985,Celsius,-2.624
11,Austria,7271,7002,February,1986,1986,Celsius,-5.209
